Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-11 12:15,Exit Long,15768.6,10,157149,537,0.34,1237,0.79,-141,-0.09,537,0.27
1,Entry long,2022-01-11 11:00,Long,15714.9,10,157149,537,0.34,1237,0.79,-141,-0.09,537,0.27
2,Exit long,2022-01-31 15:00,Exit Long,14797.6,11.4,168598.02,94.62,0.06,609.9,0.36,-711.36,-0.42,631.62,0.32
2,Entry long,2022-01-31 11:45,Long,14789.3,11.4,168598.02,94.62,0.06,609.9,0.36,-711.36,-0.42,631.62,0.32
3,Exit long,2022-02-08 13:00,Exit Long,14712.8,14.5,211963.9,1371.7,0.65,2183.7,1.03,-30.45,-0.01,2003.32,1.00
3,Entry long,2022-02-08 10:45,Long,14618.2,14.5,211963.9,1371.7,0.65,2183.7,1.03,-30.45,-0.01,2003.32,1.00
4,Exit long,2022-02-08 13:00,Exit Long Add,14712.8,145.3,2137595.48,174.36,0.01,8311.16,0.39,-29.06,0.00,2177.68,1.09
4,Entry long,2022-02-08 12:15,Long Add,14711.6,145.3,2137595.48,174.36,0.01,8311.16,0.39,-29.06,0.00,2177.68,1.09
5,Exit long,2022-02-22 10:30,Exit Long,14014.6,11.4,160897.32,-1130.88,-0.70,35.34,0.02,-1356.6,-0.84,1046.8,0.52
5,Entry long,2022-02-22 10:15,Long,14113.8,11.4,160897.32,-1130.88,-0.70,35.34,0.02,-1356.6,-0.84,1046.8,0.52
6,Exit long,2022-03-15 11:45,Exit Long,13328.6,11.4,151673.58,272.46,0.18,1151.4,0.76,-347.7,-0.23,1319.26,0.66
6,Entry long,2022-03-15 10:30,Long,13304.7,11.4,151673.58,272.46,0.18,1151.4,0.76,-347.7,-0.23,1319.26,0.66
